Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
300025,Bar Bistro Bravour,Dapperstraat 26,26,,1093BW,Amsterdam,020-Oost,,,✔️,,Indien niet aanwezig Sleutel bij het cafe aan de overkant (de lachende gulden) ,,,,,2
300026,HEM STADHOUDERSKADE AMSTERDAM B.V.,Stadhouderskade 7,7,,1054ES,Amsterdam,020-West,,,,,,,,,,4
300027,Mr. Moos Bistro & Bar B.V.,Grote markt 40,40,,4811XS,Breda,Breda,,,,,,,,,,
300028,Aran Irish Pub Amsterdam,Max Euweplein 73,73,,1017MA,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
300029,Bulls and Dogs Amsterdam B.V.,Van Woustraat 58H,58,H,1073LN,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300030,Frela Holding BV,Turbinestraat 4,4,,1014AV,Amsterdam,020-West,,,,,,,,,,4
300031,Right Spirits BV,Zekeringstraat 13B,13,B,1014BM,Amsterdam,020-West,,,,,,,,,,4
300032,Berry Bliksem Turbo Lumen,Lutmastraat 20B,20,B,1072PJ,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300033,Chard Laver B.V.,Kribbestraat 19 H,19,H,1079WK,Amsterdam,020-Zuid,,,,,,,,,,3
300034,Renaissance Amsterdam Schiphol Airport,Mr. Jacob Takkade 35,35,,1432CB,Aalsmeer,Aalsmeer,,,,,,,,,,
300035,Biltstraat Wijn & Whisky,Biltstraat 36,36,,3572BC,Utrecht,Utrecht,,,,,,,,,,
300036,Pais Horeca Holding BV,Marie Heinekenplein 5-8,5,,1072MH,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300037,No Rules Heinekenplein B.V.,Marie Heinekenplein 5-8,5,,1072MH,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300038,Elly's Beach en Bistro,Veneweg 294,294,,7946LX,Wanneperveen,Wanneperveen,,,,,,,,,,
300039,h/o Wils,Stadionplein 26,26,,1076CM,Amsterdam,020-Zuid,,,,,Leveranciresingang aan de zijkant - Aanbellen,,,,,3
300040,Lucy Lou Taco's & Tequila,Vredenburg 30,30,,3511BC,Utrecht,Utrecht,,,✔️,,,,,,,
300041,Wolf Hotel Kitchen & Bar,Mient 3,3,,1811NB,Alkmaar,Alkmaar,,,,,,,,,,
300042,Fred's Kitchen,Kraanspoor 5,5,,1033SC,Amsterdam,020-Noord,,,,,,,,,,1
300047,Barbaarsch,Jan Evertsenstraat 91,91,,1057BS,Amsterdam,020-West,,,,,,,,,,4
300048,Dutch Courage Cocktailbar B.V.,Zeedijk 12,12,,1012AX,Amsterdam,020-Centrum,,10:00,✔️,,Parkeren kan ook op de Armbrug,,DC,,,5
300049,Triple A Plus,J. S. Ruppertstraat 8,8,,1069KJ,Amsterdam,020-Nieuw-West,,,,,,,,,,4
300051,Folium Wine Advisory,Linneausstraat 27d,27,D,1093EE,Amsterdam,020-Oost,,,,,,,,,,2
300052,Drankenspeciaalzaak Jelle,Voorstreek 63,63,,8911JK,Leeuwarden,Leeuwarden,,,,,,,,,,
300053,Avallen Spirits B.V.,Sarphatistraat 175-1,175,1,1018GE,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
300054,J.D. Hospitality,Tuurkesweg 13,13,,6006SG,Weert,Weert,,,,,,,,,,
300055,WestWing,Westsingel 48,48,,3811BB,Amersfoort,Amersfoort,,,,,"Vervoerder 1 uur van te voren laten bellen, nummers zijn opgeslagen  bij accountgegevens Mdrank.",,,,,
300056,Public Space,Bercylaan 301,301,,1031KP,Amsterdam,020-Noord,,,,,,,,,,1
300057,Jack's BBQ Shack,Raamstraat 27 H,27,HS,1016XL,Amsterdam,020-Centrum-West,,,,,,,,,,4
300058,Kyatcha Enterprises b.v.,Frederik Hendriklaan 122,122,,2582BG,Den Haag,Den Haag,,,,,,,KYATCHA DH,,,
300059,Restaurant Kronenburg,Professor E.M. Meijerslaan 6,6,,1183AV,Amstelveen,Amstelveen,,,,,,,,,,7
300060,The Secret story of Twentytwo,Zwartbroekstraat 22,22,,6041JM,Roermond,Roermond,,,,,,,,,,
300061,Tasting Guru,De Droogmakerij 20 e,20,E,1851HX,Heilo,Heilo,,,,,,,,,,
300062,Dekxels BV,Denneweg 130,130,,2514CL,Den Haag,Den Haag,,,,,,,,,,
300063,Nyetimber Netherlands BV,Keizersgracht 207,207,,1016DS,Amsterdam,020-Centrum-West,,,,,,,,,,4
300064,Angie Cocktails & Kitchen,Amstelveensweg 156,156,,1075XN,Amsterdam,020-Zuid,,,,,,,,,,3
300065,Drankenhandel Kolijn,Gerard Philipsweg 7,7,,4538DA,Terneuzen,Terneuzen,,,,,,,,,,
300066,De Borrelmixers,Balistraat 92,92,,2585XX,Den Haag,Den Haag,,,,,,,,,,
300067,Mansion Club Amsterdam,Goudsbloemstraat 207-211,207,,1015JN,Amsterdam,020-Centrum-West,,,,,,,,,,4
300068,Twenytwo Cocktailbar,Zwartebroekstraat 22,22,,6041JM,Roermond,Roermond,,,,,,,,,,
300069,Wine & More by Arjan,Choorstraat 38,38,,2611JH,Delft,Delft,,,,,,,,,,
300070,ATLANTIC HOTEL EXPLOITATIE B.V.,Deltaplein 200,200,,2554EJ,Den Haag,Den Haag,,,,,,,,,,
300071,Velicus B.V.,Rokin 52-2,52,2,1012KV,Amsterdam,020-Centrum,,,,,,,,,,5
300072,The Unbound,Tom Schreursweg 40,40,,1067MC,Amsterdam,020-Nieuw-West,,,,,,,,,,4
300073,Cocktails To Go,Italiëstraat 80,80,,1363CE,Almere,Almere,,,,,,,,,,
300074,Blast Galaxy,MT Lincolnweg 17,17,,1033SN,Amsterdam,020-Noord,,,,,,,,,,1
300075,The Link Spirits | OTENBA,Postbus 15964,15964,,1001NL,Amsterdam,Postbus,,,,,,,,,,
300076,Van Bieren Retail B.V.,De Stuwdam 5,5,,3815KM,Amersfoort,Amersfoort,,,,,,,,,,
300077,Venster Utrecht,Berlijnplein 520,520,,3541CN,Utrecht,Utrecht,,,,,,,,,,
300078,Bisou B.V.,Bosboom Toussaintstraat 28-H,28,H,1054AS,Amsterdam,020-West,,,,,,,,,,4
300079,La Colline,Heuvel 40,40,,5341CW,Oss,Oss,,,,,,,,,,
300080,Law & Order Cocktailbar,Voetboogstraat 4,4,,1012XL,Amsterdam,020-Centrum,,11:30,✔️,,Parkeren kan ook op Rokin ter hoogte van Spui,,,,,5
300081,Slijterij Topido,Bellamystraat 14,14,,1053BL,Amsterdam,020-West,,,,,,,,,,4
300082,Nic & ik BV,Noorderhavenstraat 49,49,,7202DD,Zutphen,Zutphen,,,,,,,,,,
300083,Café Le Loup BV,Wolventraat 4,4,,1016EP,Amsterdam,020-Centrum-West,,,,,,,,,,4
300084,HIHCL HR Amsterdam BV,Sarphatistraat 104,104,,1018GV,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
300085,Cafe De Ysbreeker,Weesperzijde 23,23,,1091EC,Amsterdam,020-Oost,,,,,,,,,,2
300086,Andre Cardoso,Glanskopmees 6,6,,1423PG,Uithoorn,Uithoorn,,,,,,,,,,
300087,Moa Moa,Overtoom 503,503,,1054LH,Amsterdam,020-West,,,,,,,,,,4
300088,Drupa Coffee Roasters,Eerste Anjeliersdwarsstraat 6,6,,1015NR,Amsterdam,020-Centrum-West,,,,,,,,,,4
300089,Restaurant de Kruidenier,Achteromdwarsstraat 4,4,,1381AW,Weesp,Weesp,,,,,vanaf 11:00u aanwezig,,,,,
300090,Lolo,Warmoesstraat 111,111,,1012JA,Amsterdam,020-Centrum,,11:30,✔️,,Sleutel bij receptie dirty nelly hostel - Parkeren in de buurt,,,,,5
300091,Hanos Zwolle,Schokkerweg 9,9,,8042PC,Zwolle,Zwolle,,,,,,,,,,
300092,Hanos Hengelo,John Maynard Keynesstraat 10,10,,7559SZ,Hengelo,Hengelo,,,,,,,,,,
300093,One Seven Tree,Contactweg 42c,42,C,1014AN,Amsterdam,020-West,,,,,,,,,,4
300094,Gendai,Abraham Kuyperlaan 8 A 01,8,A-01,3038PK,Rotterdam,Rotterdam,,,,,,,,,,
300095,Egg House Frans Halsstraat BV,Daniel Stalperstraat 36H,36,H,1072XG,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300097,CSTMZD,L.A. Braakstraat 19,19,,1432PP,Aalsmeer,Aalsmeer,,,,,,,,,,
300098,Vinumundi,Kerkstraat 10,10,,6367JE,Voerendaal,Voerendaal,,,,,,,,,,
300099,SIXT B.V.,Kruisweg 791,791,,2132NG,Hoofddorp,Hoofddorp,,,,,,,,,,
300100,Triple C Beverage Solutions,Portsmuiden 39,39,,1046AH,Amsterdam,020-Westpoort,,,,,,,,,,4
300101,Hoekstrasamenwerkingsverband,Kapellerweg 20,20,,6132AW,Sittard,Sittard,,,,,,,,,,
300102,Dranken Atelier,Wijkermeerseweg 23-A,23,A,1948NT,Beverwijk,Beverwijk,,,,,,,,,,
300103,Taste aan den Rijn,Hooftstraat 89,89,,2406GE,Alphen Aan Den Rijn,Alphen Aan Den Rijn,,,,,,,,,,
300104,NENI Amsterdam B.V.,Stadionplein 8,8,,1076CM,Amsterdam,020-Zuid,,,,,Leveranciersingang aan de zijkant ,,,,,3
300105,Jacobsz,Ringdijk 1,1,,1097AA,Amsterdam,020-Oost,,,,,,,,,,2
300106,Restaurant Lekr,Stichts End 9,9,,1244PK,Ankeveen,Ankeveen,,,,,,,,,,
300107,Vørding Spirits,Nieuwpoortkade 2a,2,A,1055RX,Amsterdam,020-West,,,,,,,,,,4
300111,Riccardo Guerrini,Eerste Jacob van Campenstraat 23-1,23,1,1072BB,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300114,Whisky4all,Amaliastraat 37,37,,3522AS,Utrecht,Utrecht,,,,,30 min van te voren bellen bij welk adres te leveren! ,,,,,
300115,Gall & Gall Verbeek Jr.,Gouden Rijderplein 14,14,,2645EX,Delfgauw,Delfgauw,,,,,,,,,,
300116,Stichting Sioo,Stadsplateau 12 etage,12,ETAGE,3521AZ,Utrecht,Utrecht,,,,,,,,,,
300117,Boonstra Wijnen,Dr. Welfferweg 11,11,,3615AK,Westbroek,Westbroek,,,,,,,,,,
300119,Bistro Lof,Broekhuizerlaan 2,2,,3956NS,Leersum,Leersum,,,,,,,,,,
300120,Unico Premium Cocktail,Orteliusstraat 62,62,,1057BD,Amsterdam,020-West,,,,,,,,,,4
300121,Nooch,Kinkerstraat 53H,53,HS,1053DG,Amsterdam,020-Centrum-West,,,✔️,,,,,,,4
300122,Kevin Gille,Kringloop 34,34,,1186HE,Amstelveen,Amstelveen,,,,,,,,,,7
300123,Mik Verhagen,Nieuwendammerdijk 67,67,,1025LD,Amsterdam,020-Noord,,,,,,,,,,1
300124,Frenchie Restaurant,Gedempte Oude Gracht 46,46,,2011GS,Haarlem,Haarlem,,,,,,,,,,
300125,Sol Maninvest BV,Eduard van Beinumstraat 40,40,,1077XZ,Amsterdam,020-Zuid,,,,,,,,,,3
300126,Shandong Restaurant B.V.,Lange Houtstraat 25,25,,2511CV,Den Haag,Den Haag,,,✔️,,,,,,,
300127,t.a.v. Lab & Kitchen,Treubweg 33,33,,1112BA,Diemen,Diemen,,,,,,,,,,
300128,Moving Spirits International BV,Malledijk 38,38,UNIT 35-38,3208LA,Spijkenisse,Spijkenisse,,,,,,,,,,
300129,Tommie Sinselmeijer,Professor E.M. Meijerslaan 6,6,,1183AV,Amstelveen,Amstelveen,,,,,,,,,,7
300130,Selier Spirits,Griseldestraat 10 H,10,H,1055AV,Amsterdam,020-West,,,,,,,,,,4
300131,310k,Jan Hanzenstraat 39-41,39,,1053SK,Amsterdam,020-West,,,,,,,,,,4
300132,Miessen Business Intelligence,Oudeweg 50,50,,6136VZ,Sittard,Sittard,,,,,,,,,,
300133,Zuid74 BV,Koepelweg 15,15,,5263AS,Vught,Vught,,,,,,,,,,
300134,AWWIJN,Fanniusscholtenstraat 56HS,56,HS,1051GA,Amsterdam,020-West,,,,,,,,,,4
300135,Groovy Fluids,Kinkerstraat 24,24,,1053 DV,Amsterdam,020-West,,,,,,,,,,4
300136,Buzzing Bar Consultancy,Staalmeesterslaan 369,369,,1057PE,Amsterdam,020-West,,,,,,,,,,4
300137,Slijterij Wigbolt,Jan van Goyenstraat 12,12,,2102CB,Heemstede,Heemstede,,,,,,,,,,
300138,Claire de Beer Design,Filips van Almondestraat 3-4,3,,1057ZR,Amsterdam,020-West,,,,,,,,,,4
300139,Kijk op Drank,J.A. van der Goeskade 1,1,,4461BH,Goes,Goes,,,,,,,,,,
300140,Spirited Hospitality,Bierkade 10a,10,A,2512AA,Den Haag,Den Haag,,,,,,,,,,
300141,VPV Group - Must Have Malts,Winthontlaan 30-B,30,B,3526KV,Utrecht,Utrecht,,,,,,,,,,
300142,Proeflokaal 't Hophuys B.V.,Markt 15,15,,6131EK,Sittard,Sittard,,,,,,,,,,
300143,Two Chefs Bar,Hugo de Grootplein 9,9,,1052LB,Amsterdam,020-West,,,,,,,,,,4
300144,Amoi,Kinkerstraat 53H,53,H,1053DE,Amsterdam,020-West,,,✔️,,,,,,,4
300145,Sate House Senayan,Reestraat 11,11,,1016DM,Amsterdam,020-Centrum,,,✔️,,,,,,,4
300146,Warna Baru,Javastraat 55H,55,H,1094HA,Amsterdam,020-Oost,,,✔️,,,,,,,2
300147,Milou Vaal,Heer Halenwijnstraat 5H,5,H,1055SN,Amsterdam,020-West,,,,,,,,,,4
300148,Langs Berg en Dal,Langevelderlaan 22,22,,2204BD,Noordwijk,Noordwijk,,,,,,,,,,
300149,Venneper Lodge,Getsewoudweg 1,1,,2151MS,Nieuw Vennep,Nieuw Vennep,,,,,,,,,,
300150,Lowietje Horeca Exploitatie B.V.,Huigsloterdijk 257,257,,2157LN,Abbenes,Abbenes,,,,,,,,,,
300151,Lowietje Lisse Horeca Exploitatie B.V.,Heereweg 10,10,,2161AG,Lisse,Lisse,,,,,,,,,,
300152,De Vogelensangh,Vogelenzangseweg 182,182,,2114BD,Vogelensangh,Vogelensangh,,,,,,,,,,
300154,Xomnia B.V.,Raamstraat 7-I,7,I,1016XL,Amsterdam,020-Centrum-West,,,,,,,,,,4
300155,Gin Fizz,Oranjestraat 4-6,4,,5038WC,Tilburg,Tilburg,,,,,,,,,,
300156,Cane Grain B.V.,Bilderdijkstraat 87 HS,87,HS,1053KM,Amsterdam,020-West,,,,,Leveren vanaf 12:00,,,,,4
300157,Wijnhoeve Heeze,Kapelstraat 29,29,,5591HC,Heeze,Heeze,,,,,,,,,,
300158,Brownys Productions BV,Boeierspad 20,20,,1081KE,Amsterdam,020-Zuid,,,,,,,,,,3
300159,Simonis & Buunk Kunsthandel BV,Notaris Fischerstraat 30,30,,6711BD,Ede,Ede,,,,,,,,,,
300160,MasMais,Hoofdweg 456,456,,1056DJ,Amsterdam,020-West,,,✔️,,,,,,,4
300162,Let's Toost,Amperestraat 8,8,,4622RE,Bergen Op Zoom,Bergen Op Zoom,,,,,,,,,,
300163,Buro de Pijp,Eerste Jan Steenstraat 72-74,72,,1072NN,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300164,Small Batch BV,Voldersgracht 18,18,,2611EV,Delft,Delft,,,,,,,,,,
300165,Rare Fruits Council B.V.,Mathenesserdijk 232,232,,3026GL,Rotterdam,Rotterdam,,,,,,,,,,
300166,Miss Scarlett,Markelerbergbad 1917,1917,,1105AW,Amsterdam,020-Zuidoost,,,,,,,,,,6
300167,The Bamboo Room,Kerkstraat 1,1,,1621CW,Hoorn,Hoorn,,,,,,,,,,
300169,Deegeluk,Markt 28,28,,5281AV,Boxtel,Boxtel,,,,,,,,,,
300170,Bombaai Strandbar,Zuidstraat 134C,134,C,4361AK,Westkapelle,Westkapelle,,,,,,,,,,
300171,Mitra Amstelveen,Brink 18,18,,1188NC,Amstelveen,Amstelveen,,,,,,,,,,7
300172,Nada Drinks,Rustenburgerstraat 143 H,143,H,1072EX,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
300173,Local Dealer,Dapperplein 23,23,,1093GP,Amsterdam,020-Oost,13:00,,,,Op dinsdag vanaf 12:30 leveren,,,,,2
300174,Fiona,Warmoesstraat 12,12,,1012JD,Amsterdam,020-Centrum,,,,,Parkeren laad en losplek Prins Hendrikkade. ,,,,,5
300175,Thermen Oosterhout,Salesdreef 11,11,,4904SW,Oosterhout,Oosterhout,,,,,,,,,,
300176,Rocca,Ferdinand Bolstraat 26H,26,H,1072LK,Amsterdam,020-Zuid - De Pijp,,,✔️,,,,,,,3
300177,Zeeburggroep BV (meneer Nieges),Westerdoksdijk 40,40,,1013AE,Amsterdam,020-West,,,,,,,,,,4
300178,Koolbartending,Elgerweg 83,83,,1825KB,Alkmaar,Alkmaar,,,,,,,,,,
300179,Bistrobar Bankoh,Kaapstander 286,286,,6541EX,Nijmegen,Nijmegen,,,,,,,,,,
300180,Bistrobar Berlin,Daalseweg 15-17,15,,6521GE,Nijmegen,Nijmegen,,,,,,,,,,
300181,Oldschool Restaurant BV,Jan Evertsenstraat 11,11,,1057BL,Amsterdam,020-West,,,,,,,,,,4
300182,Saru Soda,Elektronstraat 12-14,12,,1014AP,Amsterdam,020-West,,,,,,,,,,4
300183,h/o Rouhi,Spui 10A,10,A,1012XG,Amsterdam,020-Centrum,,11:30,,,In de Rituals ,,,,,5
300184,Wijnkoperij De Gouden Ton Heemstede,Binnenweg 4,4,,2101JK,Heemstede,Heemstede,,,,,,,,,,
300185,Hofman Utrecht,Janskerkhof 17 A,17,A,3512BM,Utrecht,Utrecht,,,,,,,,,,
300186,Restaurant Kasteel Heemstede,Heemstedeweg 20,20,,3992LS,Houten,Houten,,,,,,,,,,
300187,Wynand Fockink,Pijlsteeg 31,31,,1012HH,Amsterdam,020-Centrum,,11:30,,,,,,,,5
300188,Bottle Business BV,Van Gijnstraat ,27,,2288GB,Rijswijk,Rijswijk,,,,,,,,,,
300189,nNea Pizza,Bilderdijkstraat 92,92,,1053KX,Amsterdam,020-West,,,,,,,,,,4
300190,Bzardrinks BV,Grote Houtstraat 110,110,,2011ST,Haarlem,Haarlem,,,,,,,,,,
300191,Bistrobar Beaune,Beekhuizenseweg 1,1,,6891CZ,Rozendaal,Rozendaal,,,,,,,,,,
300192,Kes Food & Drink Concepts,Spitskopstraat 8,8,,1092XZ,Amsterdam,020-Oost,,,,,,,,,,2
300193,Cafe Modern,Meidoornweg 2,2,,1031GG,Amsterdam,020-Noord,,,,,Leveren na 12:00 of einde dag.,,,,,1
300194,Dutch Spirits Company B.V.,Wijkermeerweg 23A,23,A,1948NT,Beverwijk,Beverwijk,,,,,,,,,,
300195,NENI Plantage pop-up,Plantage Middenlaan 46,46,,1018DH,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
300196,De Japanner (Strandeiland),Pampuslaan 505,505,,1087HP,Amsterdam,020-Oost,,,,✔️,,,JAP S,,,2
300197,Thomas Testaccount,Contactweg 42B,42,B,1014AN,Amsterdam,020-West,,,,,,,,,,4
300198,Tierney's Irish Pub,Spekstraat 8,8,,2011HM,Haarlem,Haarlem,,,,,,,,,,
333016,Dr. Greenlove,Contactweg 42-D,42,D,1014AN,Amsterdam,020-West,,,,,,,,,,4
333017,Aziatisch restaurant Madame Saigon,Schiedamse Vest 56,56,,3011BD,Rotterdam,Rotterdam,,,,,,,,,,
333017,The Rumah BV,Volmarijnstraat 162b,162,b,3021XZ,Rotterdam,Rotterdam,,,,,alternatief is Café Bakeliet – Nieuwe Binnenweg 328-C,,,,,
333018,Aziatische restaurant Madame Saigon,Schiedamse Vest 56,56,,3011BD,Rotterdam,Rotterdam,,,,,,,,,,
333019,Studio Restaurant,Wycker Grachtstraat 24,24,,6221CX,Maastricht,Maastricht,,,,,,,,,,
333020,William Premium Canned Cocktails B.V.,WItte de Withhof 8,8,,3012BV,Rotterdam,Rotterdam,,,,,,,,,,
333021,The Malt Vault,Oudegracht a/d Werf 54,54,,3511AS,Utrecht,Utrecht,,,✔️,✔️,Sleutelkluis,,,,,
333022,Comedy Café Amsterdam,IJdok 89,89,,1013MM,Amsterdam,020-West,,,✔️,,,,,,,4
333023,Comedy Café Utrecht,Oudegracht 205,205,,3511NH,Utrecht,Utrecht,,11:30:00,✔️,,,,,,,
333024,The Lobby Fizeaustraat BV,Fizeaustraat 2,2,,1097SC,Amsterdam,020-Oost,,,,✔️,Leveren bij de Leveranciersingang,,,,,2
333025,Het Paardje B.V.,Gerard Douplein 1,1,,1073XE,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
333026,NY Basement,Koninginnenhoofd 1,1,,3072AD,Rotterdam,Rotterdam,,,,,,,,,,
333027,Bordello Aperitivo,Zeedijk 41,41,,1012AR,Amsterdam,020-Centrum,,10:30,✔️,,,,,,,5
333029,Ceppi's,Lijnbaansgracht 256,256,,1017RK,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
333030,Lowietje Nieuw Vennep Horeca Exploitatie,Venneperweg 485-487,485,,2152CA,Nieuw-Vennep,Nieuw-Vennep,,,,,,,,,,
333031,Five Brothers Fat Hobbemakade,Hobbemakade 64,64,,1071XM,Amsterdam,020-Zuid,,,,,,,,,,3
333032,Novanta Events,Nico Jessekade 53,53,,1087MG,Amsterdam,020-Oost,,,,,,,,,,2
333033,Old Fashion,Prins Hendrikstraat 53,53,,2518HJ,Den Haag,Den Haag,,,,,,,,,,
333034,KAIA BV,Europaplein 21,21,,1078GS,Amsterdam,020-Zuid,,,,,,,,,,3
333035,Pastis,Oude Molstraat 57,57,,2513BA,Den Haag,Den Haag,,,,,,,,,,
333036,Night Kitchen AMsterdam,Jan Pieter Heijestraat 170 H,170,H,1054ML,Amsterdam,020-West,,,,,,,,,,4
333038,Tacos en Tequila BV,Lange Leidsedwarsstraat 75H,75,H,1017NH,Amsterdam,020-Centrum-Zuid,,11:30,,✔️,Indien niemand aanwezig: Voor 12:00 schoonmaker bellen 06-41269438 na 12:00 Martijn bellen 0615053721,,,,,3
333039,Cencalli,Korte Houtstraat 14C,14,C,2511CD,Den Haag,Den Haag,,,,,,,,,,
333040,Bilderdijk Wijnhuys,Bilderdijkstraat 59,59,,1053KL,Amsterdam,020-West,,,,,,,,,,4
333040,Bilderdijk Wijnhuys,Bilderdijkstraat 59 HS,59,HS,1053KL,Amsterdam,020-West,,,,,,,,,,4
333041,Bartine H11 BV,Herengracht 11,11,,2511EG,Den Haag,Den Haag,,,,,,,,,,
333042,De Kluizenaer,Grote Markt 12,12,,4461AJ,Goes,Goes,,,,,,,,,,
333042,De Kluizenaer,Grote Markt 12,12,,4461AJ,Goes,Goes,,,,,,,,,,
333043,New Vegas,Koningsstraat 5,5,,2011TB,Haarlem,Haarlem,,,,,,,,,,
333044,From a Different Angle,Veembroederhof 261,261,,1019HD,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
333045,Cucina Soho,Lange Houtstraat 3,3,,2511CV,Den Haag,Den Haag,,,,,,,,,,
333046,Duke of Tokyo Utrecht BV,Ganzenmarkt 2B,2,B,3512GE,Utrecht,Utrecht,,,✔️,✔️,Sleutelkastje paar deuren verder,,DOT U,,,
333047,Deplanu Haarlem BV,Santpoorterplein 1,1,,2023DM,Haarlem,Haarlem,,,,,,,,,,
333048,Clos Amsterdam BV,Beukenplein 50,50,,1091ML,Amsterdam,020-Oost,,,✔️,✔️,,,,,,2
333049,OT301,Overtoom 301,301,,1054HW,Amsterdam,020-West,,,,,Een half uur vantevoren bellen,,,,,4
333050,Restaurant Villa CouCou B.V.,Laan van Meerdervoort 6,6,,2517AJ,Den Haag,Den Haag,,,,,,,,,,
333051,De Jongens,Dorpsweg 10,10,,3235AG,Rockanje,Rockanje,,,,,,,,,,
333052,DaklaPack Europe,Kamerlingh Onneslaan 6,6,,8218MA,Lelystad,Lelystad,,,,,,,,,,
333053,The Jack Rabbit,Neude 29,29,,3512AE,Utrecht,Utrecht,,,,,,,,,,
333054,Veganees,Eerste Constantijn Huygensstraat 45H,45,H,1054BS,Amsterdam,020-West,,,,,,,,,,4
333055,Lakila,Vrouwenregt 15,15,,2611KK,Delft,Delft,,,,,raag bellen van te voren bij levering op 0629608639 en anders op 0614797899,,,,,
333057,Restaurant Glaswerk,Fokkerkade 14,14,,2516CC,Den Haag,Den Haag,,,,,,,,,,
333058,Zeeuw & Schot,Rietlandpark 373,373,,1019EM,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
333059,Kopstootbar BV,Marnixstraat 429,429,,1017PK,Amsterdam,020-Centrum-Zuid,,11:30,,,,,,,,3
333060,Door 74,Reguliersdwarsstraat 74,74,,1017BN,Amsterdam,020-Centrum-Zuid,,,✔️,,,,D74,,,3
333061,OX Rotterdam,Schiekade 185,185,,3013BR,Rotterdam,Rotterdam,,,,,,,,,,
333062,F.C. B.V.,F.C. Donderstraat 2,2,,3572JG,Utrecht,Utrecht,,,,,,,,,,
333063,Global Beach Trading LLC FZC,Slega 1A,1,A,1046BM,Amsterdam,020-Westpoort,,,,,,,,,,4
333064,Ben Lobos,Stationssingel 19B,19,B,3033HA,Rotterdam,Rotterdam,,,,,,,,,,
333065,Abnormal Data Processing,Jan Hanzenstraat 39 H,39,H,1053SK,Amsterdam,020-West,,,,,,,,,,4
333066,Vondelpark 3 BV,Vondelpark 3,3,,1071AA,Amsterdam,020-Zuid,,,,,,,,,,3
333067,D/Dock,Danzigerbocht 55,55,,1013AM,Amsterdam,020-West,,,,,,,,,,4
333067,DDock,Dantzigerbocht 55,55,,1013AM,Amsterdam,020-West,,,,,,,,,,4
333068,Story Tasting,Rustenburgpark 3,3,,2135GT,Hoofddorp,Hoofddorp,,,,,,,,,,
333069,Wouter Testaccount,Contactweg 42B,42,B,1014AN,Amsterdam,020-West,,,,,,,,,,4
333070,Bar Bacan,Reguliersdwarsstraat 105,105,,1017BL,Amsterdam,020-Centrum-Zuid,,,✔️,✔️,Deur optillen bij sluiten!,,,,,3
333071,Wijnwinkel Proef,Uilenburgstraatje 14,14,,5211ED,S-Hertogenbosch,S-Hertogenbosch,,,,,,,,,,
333072,VadeVi,Marktplein 21,21,,1421AC,Uithoorn,Uithoorn,,,,,,,,,,
333073,Beiaard Groep Nederland,Kerkplein 3,3,,1621CX,Hoorn,Hoorn,,,,,,,,,,
333074,De Burgemeesters B.V.,Postbus 1062,1062,,2600BB,Delft,Delft,,,,,,,,,,
333075,Events2be,Fonteinkruid 6c,6,C,3931WX,Woudenberg,Woudenberg,,,,,,,,,,
333076,Sai Testaccount,Kraanspoor 7e3,7,E3,1033SC,Amsterdam,020-Noord,,,,,,,,,,1
333077,Wils Bakery Cafe,Stadionplein 24,24,,1076CM,Amsterdam,020-Zuid,,,,,Leveranciersingang aan de zijkant,,,,,3
333078,"Old Dogs, New Habits BV h/o taru",Koningstraat,,,2011TD,Haarlem,Haarlem,,,,,,,,,,
333079,De Boetiek Dranken BV hodn drank.nl,Molenstraat 5,5,,2513BH,Den Haag,Den Haag,,,,,,,,,,
333080,Mitra Drankenspeciaalzaak Hans & Hans,De Loop 31,31,,5688EW,Oirschot,Oirschot,,,,,,,,,,
333081,BAR BOYS AMSTERDAM,Nieuwe Kerstraat 1,1,,1018DW,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
333082,Sins of Sal,Westerstraat 86,86,,1015MN,Amsterdam,020-Centrum-West,14:00,,,,Na 14:00 Leveren,,SAL,,,4
333083,Yellowhouse,Danzigerbocht 45R,45,R,1013AM,Amsterdam,020-West,,,,,,,,,,4
333084,PAAK Vinyl Bar B.V.,Bloemerstraat 23,23,,6511EB,Nijmegen,Nijmegen,,,,,,,,,,
333085,Drankenhandel Leiden,Zeemanlaan 22,22,,2313SZ,Leiden,Leiden,,,,,,,,,,
